modello,target_vero,target_predetto,codice
Qwen/Qwen2.5-3B-Instruct,Vulnerabile,Vulnerabile,"static void nbd_read(void *opaque)

{

    NBDClient *client = opaque;



    if (client->recv_coroutine) {

        qemu_coroutine_enter(client->recv_coroutine, NULL);

    } else {

        qemu_coroutine_enter(qemu_coroutine_create(nbd_trip), client);

    }

}
"
Qwen/Qwen2.5-3B-Instruct,Vulnerabile,Vulnerabile,"static void test_visitor_out_empty(TestOutputVisitorData *data,

                                   const void *unused)

{

    QObject *arg;



    arg = qmp_output_get_qobject(data->qov);

    g_assert(qobject_type(arg) == QTYPE_QNULL);



    qobject_decref(arg);

}"
Qwen/Qwen2.5-Coder-3B-Instruct,Vulnerabile,Vulnerabile,"static void nbd_read(void *opaque)

{

    NBDClient *client = opaque;



    if (client->recv_coroutine) {

        qemu_coroutine_enter(client->recv_coroutine, NULL);

    } else {

        qemu_coroutine_enter(qemu_coroutine_create(nbd_trip), client);

    }

}
"
Qwen/Qwen2.5-Coder-3B-Instruct,Vulnerabile,Vulnerabile,"static gboolean gd_vc_in(GIOChannel *chan, GIOCondition cond, void *opaque)

{

    VirtualConsole *vc = opaque;

    uint8_t buffer[1024];

    ssize_t len;



    len = read(vc->fd, buffer, sizeof(buffer));

    if (len <= 0) {

        return FALSE;

    }



    qemu_chr_be_write(vc->chr, buffer, len);



    return TRUE;

}
"
Qwen/Qwen2.5-Coder-3B-Instruct,Vulnerabile,Vulnerabile,"static av_always_inline void thread_park_workers(SliceThreadContext *c, int thread_count)

{

    while (c->current_job != thread_count + c->job_count)

        pthread_cond_wait(&c->last_job_cond, &c->current_job_lock);

    pthread_mutex_unlock(&c->current_job_lock);

}
"
Qwen/Qwen2.5-Coder-3B-Instruct,Vulnerabile,Vulnerabile,"static void test_visitor_out_empty(TestOutputVisitorData *data,

                                   const void *unused)

{

    QObject *arg;



    arg = qmp_output_get_qobject(data->qov);

    g_assert(qobject_type(arg) == QTYPE_QNULL);



    qobject_decref(arg);

}"
Qwen/Qwen2.5-Coder-3B-Instruct,Vulnerabile,Vulnerabile,"void *postcopy_get_tmp_page(MigrationIncomingState *mis)

{

    if (!mis->postcopy_tmp_page) {

        mis->postcopy_tmp_page = mmap(NULL, getpagesize(),

                             PROT_READ | PROT_WRITE, MAP_PRIVATE |

                             MAP_ANONYMOUS, -1, 0);

        if (!mis->postcopy_tmp_page) {

            error_report(""%s: %s"", __func__, strerror(errno));

            return NULL;

        }

    }



    return mis->postcopy_tmp_page;

}
"
Qwen/Qwen2.5-Coder-3B-Instruct,Vulnerabile,Vulnerabile,"void cpu_write_xer(CPUPPCState *env, target_ulong xer)

{

    env->so = (xer >> XER_SO) & 1;

    env->ov = (xer >> XER_OV) & 1;

    env->ca = (xer >> XER_CA) & 1;

    env->xer = xer & ~((1u << XER_SO) | (1u << XER_OV) | (1u << XER_CA));

}
"
meta-llama/Llama-3.2-3B-Instruct,Vulnerabile,Vulnerabile,"static void nbd_read(void *opaque)

{

    NBDClient *client = opaque;



    if (client->recv_coroutine) {

        qemu_coroutine_enter(client->recv_coroutine, NULL);

    } else {

        qemu_coroutine_enter(qemu_coroutine_create(nbd_trip), client);

    }

}
"
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Vulnerabile,Vulnerabile,"void *postcopy_get_tmp_page(MigrationIncomingState *mis)

{

    if (!mis->postcopy_tmp_page) {

        mis->postcopy_tmp_page = mmap(NULL, getpagesize(),

                             PROT_READ | PROT_WRITE, MAP_PRIVATE |

                             MAP_ANONYMOUS, -1, 0);

        if (!mis->postcopy_tmp_page) {

            error_report(""%s: %s"", __func__, strerror(errno));

            return NULL;

        }

    }



    return mis->postcopy_tmp_page;

}
"
