modello,target_vero,target_predetto,codice
Qwen/Qwen2.5-7B-Instruct,Vulnerabile,Vulnerabile,"static int get_coc(Jpeg2000DecoderContext *s, Jpeg2000CodingStyle *c,

                   uint8_t *properties)

{

    int compno;



    if (s->buf_end - s->buf < 2)

        return AVERROR_INVALIDDATA;



    compno = bytestream_get_byte(&s->buf);



    c      += compno;

    c->csty = bytestream_get_byte(&s->buf);

    get_cox(s, c);



    properties[compno] |= HAD_COC;

    return 0;

}
"
Qwen/Qwen2.5-Coder-7B-Instruct,Vulnerabile,Vulnerabile,"static int get_coc(Jpeg2000DecoderContext *s, Jpeg2000CodingStyle *c,

                   uint8_t *properties)

{

    int compno;



    if (s->buf_end - s->buf < 2)

        return AVERROR_INVALIDDATA;



    compno = bytestream_get_byte(&s->buf);



    c      += compno;

    c->csty = bytestream_get_byte(&s->buf);

    get_cox(s, c);



    properties[compno] |= HAD_COC;

    return 0;

}
"
codellama/CodeLlama-7b-Instruct-hf,Vulnerabile,Vulnerabile,"static int get_coc(Jpeg2000DecoderContext *s, Jpeg2000CodingStyle *c,

                   uint8_t *properties)

{

    int compno;



    if (s->buf_end - s->buf < 2)

        return AVERROR_INVALIDDATA;



    compno = bytestream_get_byte(&s->buf);



    c      += compno;

    c->csty = bytestream_get_byte(&s->buf);

    get_cox(s, c);



    properties[compno] |= HAD_COC;

    return 0;

}
"
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Vulnerabile,Vulnerabile,"static int get_coc(Jpeg2000DecoderContext *s, Jpeg2000CodingStyle *c,

                   uint8_t *properties)

{

    int compno;



    if (s->buf_end - s->buf < 2)

        return AVERROR_INVALIDDATA;



    compno = bytestream_get_byte(&s->buf);



    c      += compno;

    c->csty = bytestream_get_byte(&s->buf);

    get_cox(s, c);



    properties[compno] |= HAD_COC;

    return 0;

}
"
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Vulnerabile,Vulnerabile,"static void fifo_deinit(AVFormatContext *avf)

{

    FifoContext *fifo = avf->priv_data;



    av_dict_free(&fifo->format_options);

    avformat_free_context(fifo->avf);

    av_thread_message_queue_free(&fifo->queue);

    pthread_mutex_destroy(&fifo->overflow_flag_lock);

}
"
Qwen/Qwen2.5-7B-Instruct,Sicuro,Sicuro,"static void gicv3_cpuif_el_change_hook(ARMCPU *cpu, void *opaque)

{

    /* Do nothing for now. */

}
"
Qwen/Qwen2.5-7B-Instruct,Sicuro,Sicuro,"void cpu_breakpoint_remove_by_ref(CPUState *env, CPUBreakpoint *breakpoint)

{

#if defined(TARGET_HAS_ICE)

    TAILQ_REMOVE(&env->breakpoints, breakpoint, entry);



    breakpoint_invalidate(env, breakpoint->pc);



    qemu_free(breakpoint);

#endif

}
"
Qwen/Qwen2.5-7B-Instruct,Sicuro,Sicuro,"void ff_put_dirac_pixels32_sse2(uint8_t *dst, const uint8_t *src[5], int stride, int h)

{

    if (h&3) {

        ff_put_dirac_pixels32_c(dst, src, stride, h);

    } else {

    ff_put_pixels16_sse2(dst   , src[0]   , stride, h);

    ff_put_pixels16_sse2(dst+16, src[0]+16, stride, h);

    }

}
"
Qwen/Qwen2.5-7B-Instruct,Sicuro,Sicuro,"static uint32_t intel_hda_mmio_readw(void *opaque, target_phys_addr_t addr)

{

    IntelHDAState *d = opaque;

    const IntelHDAReg *reg = intel_hda_reg_find(d, addr);



    return intel_hda_reg_read(d, reg, 0xffff);

}
"
Qwen/Qwen2.5-7B-Instruct,Sicuro,Sicuro,"static uint8_t *l2cap_bframe_out(struct bt_l2cap_conn_params_s *parm, int len)

{

    struct l2cap_chan_s *chan = (struct l2cap_chan_s *) parm;



    if (len > chan->params.remote_mtu) {

        fprintf(stderr, ""%s: B-Frame for CID %04x longer than %i octets.\n"",

                        __func__,

                        chan->remote_cid, chan->params.remote_mtu);

        exit(-1);

    }



    return l2cap_pdu_out(chan->l2cap, chan->remote_cid, len);

}
"
Qwen/Qwen2.5-Coder-7B-Instruct,Sicuro,Sicuro,"static void gicv3_cpuif_el_change_hook(ARMCPU *cpu, void *opaque)

{

    /* Do nothing for now. */

}
"
