Layer,Baseline_Vanilla (S_base - V_base),AA_Overshooting (S_AA - S_base),AA_Forza (S_AA - V_base),AA_Confine (S_AA - V_AA),PI_Overshooting (S_PI - S_base),PI_Forza (S_PI - V_base),PI_Confine (S_PI - V_PI),AP_Overshooting (S_AP - S_base),AP_Forza (S_AP - V_base),AP_Confine (S_AP - V_AP)
0,0.2062,0.6206,0.512,0.2443,0.4817,0.518,0.4675,1.509,1.589,0.2338
1,0.2686,0.884,0.723,0.3242,0.731,0.7583,0.6484,1.631,1.695,0.2795
2,0.353,1.174,0.9727,0.4658,1.546,1.502,0.846,2.367,2.408,0.3257
3,0.4128,1.505,1.273,0.6206,2.348,2.256,0.9976,3.008,3.002,0.3745
4,0.454,1.767,1.482,0.698,2.912,2.76,1.176,3.63,3.55,0.4224
5,0.5137,2.193,1.874,0.8623,3.334,3.17,1.445,4.332,4.25,0.571
6,0.5464,2.404,2.064,0.932,3.537,3.309,1.658,4.19,4.062,0.6187
7,0.573,2.549,2.2,1.026,3.521,3.264,1.848,4.28,4.13,0.689
8,0.662,2.877,2.508,1.244,3.9,3.629,2.059,4.55,4.39,0.8955
9,0.709,3.021,2.566,1.307,4.316,4.04,2.166,4.566,4.355,0.8804
10,0.7227,3.361,2.893,1.435,4.355,4.035,2.268,4.902,4.668,0.886
11,0.837,3.691,3.152,1.6,4.67,4.36,2.273,5.11,4.88,0.9043
12,0.8174,3.777,3.248,1.599,4.79,4.46,2.26,4.945,4.723,0.874
13,1.031,4.41,3.734,1.715,5.844,5.484,2.678,5.523,5.117,1.078
14,1.107,4.85,4.08,1.815,7.02,6.66,2.756,5.78,5.305,1.285
15,1.094,4.844,4.113,1.775,8.61,8.336,2.838,5.64,5.176,1.341
16,1.154,5.023,4.258,1.866,9.79,9.51,3.11,6.15,5.64,1.463
17,1.357,6.01,5.176,2.223,11.87,11.58,3.316,6.89,6.39,1.557
18,2.764,8.23,6.977,3.371,16.73,16.31,4.67,7.797,7.02,2.434
19,4.473,10.4,9.03,4.5,23.62,23.39,6.418,10.03,9.19,3.395
20,5.523,12.74,11.16,5.664,30.03,29.5,8.305,12.02,11.0,4.105
21,5.605,12.85,11.24,5.793,29.53,28.98,8.54,12.26,11.21,4.145
22,6.582,14.45,12.516,6.527,36.12,35.53,10.71,13.74,12.82,4.74
23,7.11,16.19,13.93,7.145,38.88,38.22,11.734,15.46,14.414,5.215
24,7.93,18.42,15.74,8.35,43.44,42.6,13.22,17.58,16.22,5.945
25,9.69,21.77,18.44,9.805,50.8,49.62,16.02,22.0,19.84,7.184
26,11.266,26.62,22.77,11.51,63.03,62.25,20.53,28.44,25.89,8.64
27,9.125,22.11,19.02,9.29,49.72,50.78,17.61,24.61,23.4,9.375
