Layer,Baseline_Vanilla (S_base - V_base),AA (S_base - V_AA),AA (V_base - V_AA),PI (S_base - V_PI),PI (V_base - V_PI),AP (S_base - V_AP),AP (V_base - V_AP)
0,0.2917,1.246,1.023,1.013,0.9175,1.932,1.9
1,0.3506,1.632,1.373,1.204,1.094,2.117,2.092
2,0.4429,2.195,1.965,1.74,1.644,2.979,2.932
3,0.5146,2.725,2.467,2.363,2.254,3.592,3.504
4,0.5703,2.922,2.662,2.992,2.828,4.117,4.0
5,0.706,3.62,3.281,3.703,3.457,5.3,5.12
6,0.7124,3.926,3.623,3.846,3.604,5.598,5.4
7,0.813,4.234,3.883,4.453,4.12,6.33,6.02
8,0.9956,4.438,4.027,4.62,4.227,6.516,6.13
9,1.082,4.73,4.242,5.414,4.95,7.184,6.66
10,1.131,5.03,4.5,5.664,5.117,7.305,6.74
11,1.182,5.215,4.63,6.105,5.527,7.688,7.066
12,1.1455,5.004,4.434,6.86,6.246,7.582,6.957
13,1.224,5.35,4.773,8.8,8.15,8.34,7.676
14,1.385,6.215,5.57,10.29,9.59,9.32,8.625
15,1.432,6.605,5.95,11.34,10.664,9.58,8.9
16,1.557,6.875,6.145,14.805,14.1,10.26,9.48
17,2.043,8.055,7.156,20.75,20.11,11.836,10.945
18,4.42,12.64,10.65,23.97,23.61,14.52,12.9
19,6.19,14.74,11.89,29.16,29.53,15.97,13.69
20,9.46,20.27,16.34,34.6,35.62,22.28,17.78
21,10.15,22.23,17.88,35.7,36.72,23.81,19.16
22,11.055,24.39,19.45,41.2,42.34,25.81,20.81
23,12.234,26.64,21.25,43.12,44.44,27.98,22.66
24,14.055,30.55,24.38,47.97,49.2,31.64,25.48
25,16.62,36.9,29.64,57.8,58.75,37.66,30.28
26,19.5,47.38,39.5,78.1,78.75,47.44,39.94
27,5.727,14.15,11.69,24.36,24.27,14.414,12.12
