id_snippet,modello,layer_attaccato,moltiplicatore,target_vero,predizione_post_steering
0,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
1,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
2,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
3,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
4,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
5,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
6,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
7,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
8,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
9,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
10,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
11,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
12,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
13,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
14,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
15,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
16,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
17,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
18,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
19,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
20,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
21,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
22,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
23,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
24,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
25,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
26,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
27,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
28,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
29,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
30,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
31,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
32,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
33,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
34,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
35,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
36,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
37,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
38,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
39,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
40,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
41,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
42,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
43,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
44,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
45,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
46,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
47,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
48,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
49,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
50,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
51,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
52,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
53,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
54,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
55,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
56,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
57,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
58,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
59,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
60,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
61,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
62,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
63,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
64,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
65,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
66,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
67,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
68,Qwen/Qwen2.5-7B-Instruct,18,20,Vulnerabile,Sicuro
