id_snippet,modello,layer_attaccato,moltiplicatore,target_vero,predizione_post_steering
697,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
698,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
699,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
700,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
701,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Non Classificato
702,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
703,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
704,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
705,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
706,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
707,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
708,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
709,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
710,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
711,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
712,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Sicuro
713,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
714,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
715,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
716,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
717,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
718,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Non Classificato
719,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
720,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
721,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
722,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
723,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Non Classificato
724,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Sicuro
725,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
726,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Sicuro
727,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Sicuro
728,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
729,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Sicuro
730,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Sicuro
731,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
732,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
733,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
734,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
735,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
736,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
737,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
738,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Sicuro
739,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
740,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
741,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
742,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
743,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
744,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
745,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,10,Vulnerabile,Vulnerabile
